notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xca\x05>\x00KL\x000\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,"bytearray(b'\x03\xb1)\x03\x00""\xd9!\tC\xd2')"
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x000\x00\xb1)\x03\x00D\xb2!\tC\xd2')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xc6\x05>\x00SL\x000\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,"bytearray(b'\x03\x06*\x03\x00\x0c\xdd""\t\x1a\xda')"
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,"bytearray(b'0\x00/\x00\x06*\x03\x00\x18\xba""\t\x1a\xda')"
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xc0\x05<\x00[L\x00/\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03[*\x03\x00\xfc\xe0#\t)\xde')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00/\x00[*\x03\x00\xf8\xc1#\t)\xde')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xb9\x05v\x00cL\x00/\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\xaf*\x03\x00\xe3\xe4$\t\x1a\xe2')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00/\x00\xaf*\x03\x00\xc6\xc9$\t\x1a\xe2')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xb2\x05x\x00kL\x00/\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\x02+\x03\x00\xc7\xe8%\t\x03\xe6')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00.\x00\x02+\x03\x00\x8e\xd1%\t\x03\xe6')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xab\x05z\x00sL\x00.\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03U+\x03\x00\xa8\xec&\t=\xec')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00.\x00U+\x03\x00P\xd9&\t=\xec')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xaa\x05L\x00{L\x00.\x00\xcc\x11')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00/\x00\xac+\x03\x006\xe1&\t=\xec')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\xac+\x03\x00\x9b\xf0&\t=\xec')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xef\x05L\x00\x83L\x001\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,"bytearray(b'\x03\x0e,\x03\x00~\xf4&\t=\xec')"
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,"bytearray(b'0\x005\x00\x0e,\x03\x00\xfc\xe8&\t=\xec')"
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xa2\x06L\x00\x8dL\x00:\x00\xcc\x11')
